CoMeT,Version,Qclevel,Headerlines,Type,Parameter_name,standard_name,long_name,units,mult_fact,add_fact,instrument1,SN1,instrument2,SN2,instrument3,SN3,instrument4,SN4
1,2018,orig,19,float,anemometer_direction,wind_from_direction,Anemometer Direction,degrees,1,0,RM Young 05103,,,,,,,
1,2018,orig,19,float,wind_speed,wind_speed,Wind Speed (Derived),m/s,1,0,RM Young 05103,,Garmin GPS 19x HVS,,KVH C100 Compass,,,
1,2018,orig,19,float,wind_direction,wind_from_direction,Wind Direction (Derived),degrees,1,0,RM Young 05103,,Garmin GPS 19x HVS,,KVH C100 Compass,,,
1,2018,orig,19,float,vehicle_heading,platform_course,Vehicle Heading,degrees,1,0,KVH C100 Compass,,,,,,,
1,2018,orig,19,float,vehicle_speed,platform_speed_wrt_ground,Vehicle Speed,m/s,1,0,Garmin GPS 19x HVS,,,,,,,
1,2018,orig,19,long,number_satellites,number_of_GPS_satellites,Number of GPS Satellites,,1,0,Garmin GPS 19x HVS,,,,,,,
1,2018,orig,19,float,GPS_magnetic_variation,gps_magnetic_variation,GPS Magnetic Variation,degrees,1,0,Garmin GPS 19x HVS,,,,,,,
1,2018,orig,19,float,horizontal_position_error,horizontal_position_error,Estimated GPS Horizontal Position Error,meters,1,0,Garmin GPS 19x HVS,,,,,,,
1,2018,orig,19,float,vertical_position_error,vertical_position_error,Estimated GPS Vertical Position Error,meters,1,0,Garmin GPS 19x HVS,,,,,,,
1,2018,orig,19,float,spherical_position_error,spherical_position_error,Overall GPS Spherical Position Error,meters,1,0,Garmin GPS 19x HVS,,,,,,,
1,2018,orig,19,double,computer_time_gps,time,Computer Time of GPS Unit,seconds since 1970-01-01 00:00:00,1,0,Garmin GPS 19x HVS,,,,,,,
1,2018,orig,19,double,computer_time_pressure,time,Computer Time of Pressure Unit,seconds since 1970-01-01 00:00:00,1,0,Vaisala PTB210,,,,,,,
1,2018,orig,19,double,computer_time_thv,time,Computer Time of T/H Unit,seconds since 1970-01-01 00:00:00,1,0,Vaisala HMP155A,,,,,,,
1,2018,orig,19,double,computer_time_fluxgate,time,Computer Time of Fluxgate Compass,seconds since 1970-01-01 00:00:00,1,0,KVH C100 Compass,,,,,,,
